Chord,Notes
D# mM7b5,D#3 D4 F#4 A4 D5
E mM7b5,E3 D#4 G4 A#4 D#5
F mM7b5,F3 E4 G#4 B4 E5
F# mM7b5,F#3 F4 A4 C5 F5
G mM7b5,G3 F#4 A#4 C#5 F#5
G# mM7b5,G#3 G4 B4 D5 G5
A mM7b5,A3 G#4 C5 D#5 G#5
A# mM7b5,A#3 A4 C#5 E5 A5
B mM7b5,B3 A#4 D5 F5 A#5
C 7b5,C3 A#3 E4 F#4 A#4
C# 7b5,C#3 B3 F4 G4 B4
D 7b5,D3 C4 F#4 G#4 C5
D# 7b5,D#3 C#4 G4 A4 C#5
E 7b5,E3 D4 G#4 A#4 D5
F 7b5,F3 D#4 A4 B4 D#5
F# 7b5,F#3 E4 A#4 C5 E5
G 7b5,G3 F4 B4 C#5 F5
G# 7b5,G#3 F#4 C5 D5 F#5
A 7b5,A3 G4 C#5 D#5 G5
A# 7b5,A#3 G#4 D5 E5 G#5
B 7b5,B3 A4 D#5 F5 A5
C M7b5,C3 B3 E4 F#4 B4
C# M7b5,C#3 C4 F4 G4 C5
D M7b5,D3 C#4 F#4 G#4 C#5
D# M7b5,D#3 D4 G4 A4 D5
E M7b5,E3 D#4 G#4 A#4 D#5
F M7b5,F3 E4 A4 B4 E5
F# M7b5,F#3 F4 A#4 C5 F5
G M7b5,G3 F#4 B4 C#5 F#5
G# M7b5,G#3 G4 C5 D5 G5
A M7b5,A3 G#4 C#5 D#5 G#5
A# M7b5,A#3 A4 D5 E5 A5
B M7b5,B3 A#4 D#5 F5 A#5
C 9,C3 G3 A#3 D4 E4
C# 9,C#3 G#3 B3 D#4 F4
D 9,D3 A3 C4 E4 F#4
D# 9,D#3 A#3 C#4 F4 G4
E 9,E3 B3 D4 F#4 G#4
F 9,F3 C4 D#4 G4 A4
F# 9,F#3 C#4 E4 G#4 A#4
G 9,G3 D4 F4 A4 B4
G# 9,G#3 D#4 F#4 A#4 C5
A 9,A3 E4 G4 B4 C#5
A# 9,A#3 F4 G#4 C5 D5
B 9,B3 F#4 A4 C#5 D#5
C 7b9,C3 G3 A#3 C#4 E4
C# 7b9,C#3 G#3 B3 D4 F4
D 7b9,D3 A3 C4 D#4 F#4
D# 7b9,D#3 A#3 C#4 E4 G4
E 7b9,E3 B3 D4 F4 G#4
F 7b9,F3 C4 D#4 F#4 A4
F# 7b9,F#3 C#4 E4 G4 A#4
G 7b9,G3 D4 F4 G#4 B4
G# 7b9,G#3 D#4 F#4 A4 C5
A 7b9,A3 E4 G4 A#4 C#5
A# 7b9,A#3 F4 G#4 B4 D5
B 7b9,B3 F#4 A4 C5 D#5
C 7#9,C3 A#3 E4 G4 D#5
C# 7#9,C#3 B3 F4 G#4 E5
D 7#9,D3 C4 F#4 A4 F5
D# 7#9,D#3 C#4 G4 A#4 F#5
E 7#9,E3 D4 G#4 B4 G5
F 7#9,F3 D#4 A4 C5 G#5
F# 7#9,F#3 E4 A#4 C#5 A5
G 7#9,G3 F4 B4 D5 A#5
G# 7#9,G#3 F#4 C5 D#5 B5
A 7#9,A3 G4 C#5 E5 C6
C 13,C3 A#3 D4 E4 A4
C# 13,C#3 B3 D#4 F4 A#4
D 13,D3 C4 E4 F#4 B4
D# 13,D#3 C#4 F4 G4 C5
E 13,E3 D4 F#4 G#4 C#5
F 13,F3 D#4 G4 A4 D5
F# 13,F#3 E4 G#4 A#4 D#5
G 13,G3 F4 A4 B4 E5
G# 13,G#3 F#4 A#4 C5 F5
A 13,A3 G4 B4 C#5 F#5
A# 13,A#3 G#4 C5 D5 G5
B 13,B3 A4 C#5 D#5 G#5
C sus13,C3 A#3 D4 F4 A4
C# sus13,C#3 B3 D#4 F#4 A#4
D sus13,D3 C4 E4 G4 B4
D# sus13,D#3 C#4 F4 G#4 C5
E sus13,E3 D4 F#4 A4 C#5
F sus13,F3 D#4 G4 A#4 D5
F# sus13,F#3 E4 G#4 B4 D#5
G sus13,G3 F4 A4 C5 E5
G# sus13,G#3 F#4 A#4 C#5 F5
A sus13,A3 G4 B4 D5 F#5
A# sus13,A#3 G#4 C5 D#5 G5
B sus13,B3 A4 C#5 E5 G#5
C m9,C3 A#3 D4 D#4 G4
C# m9,C#3 B3 D#4 E4 G#4
D m9,D3 C4 E4 F4 A4
D# m9,D#3 C#4 F4 F#4 A#4
E m9,E3 D4 F#4 G4 B4
F m9,F3 D#4 G4 G#4 C5
F# m9,F#3 E4 G#4 A4 C#5
G m9,G3 F4 A4 A#4 D5
G# m9,G#3 F#4 A#4 B4 D#5
A m9,A3 G4 B4 C5 E5
A# m9,A#3 G#4 C5 C#5 F5
B m9,B3 A4 C#5 D5 F#5
C M7#11,C3 B3 G4 D5 F#5
C# M7#11,C#3 C4 G#4 D#5 G5
D M7#11,D3 C#4 A4 E5 G#5
D# M7#11,D#3 D4 A#4 F5 A5
E M7#11,E3 D#4 B4 F#5 A#5
F M7#11,F3 E4 C5 G5 B5
F# M7#11,F#3 F4 C#5 G#5 C6
C 9#5,C3 F#3 A#3 D4 E4
C# 9#5,C#3 G3 B3 D#4 F4
D 9#5,D3 G#3 C4 E4 F#4
D# 9#5,D#3 A3 C#4 F4 G4
E 9#5,E3 A#3 D4 F#4 G#4
F 9#5,F3 B3 D#4 G4 A4
F# 9#5,F#3 C4 E4 G#4 A#4
G 9#5,G3 C#4 F4 A4 B4
G# 9#5,G#3 D4 F#4 A#4 C5
A 9#5,A3 D#4 G4 B4 C#5
A# 9#5,A#3 E4 G#4 C5 D5
B 9#5,B3 F4 A4 C#5 D#5
C dimM7,C3 F#3 D#4 B4 D#5
C# dimM7,C#3 G3 E4 C5 E5
D dimM7,D3 G#3 F4 C#5 F5
D# dimM7,D#3 A3 F#4 D5 F#5
E dimM7,E3 A#3 G4 D#5 G5
F dimM7,F3 B3 G#4 E5 G#5
F# dimM7,F#3 C4 A4 F5 A5
G dimM7,G3 C#4 A#4 F#5 A#5
G# dimM7,G#3 D4 B4 G5 B5
A dimM7,A3 D#4 C5 G#5 C6
C 11,C3 A#3 D4 F4 G4
C# 11,C#3 B3 D#4 F#4 G#4
D 11,D3 C4 E4 G4 A4
D# 11,D#3 C#4 F4 G#4 A#4
E 11,E3 D4 F#4 A4 B4
F 11,F3 D#4 G4 A#4 C5
F# 11,F#3 E4 G#4 B4 C#5
G 11,G3 F4 A4 C5 D5
G# 11,G#3 F#4 A#4 C#5 D#5
A 11,A3 G4 B4 D5 E5
A# 11,A#3 G#4 C5 D#5 F5
B 11,B3 A4 C#5 E5 F#5
C 7b13,C3 A#3 D4 E4 G#4
C# 7b13,C#3 B3 D#4 F4 A4
D 7b13,D3 C4 E4 F#4 A#4
D# 7b13,D#3 C#4 F4 G4 B4
E 7b13,E3 D4 F#4 G#4 C5
F 7b13,F3 D#4 G4 A4 C#5
F# 7b13,F#3 E4 G#4 A#4 D5
G 7b13,G3 F4 A4 B4 D#5
G# 7b13,G#3 F#4 A#4 C5 E5
A 7b13,A3 G4 B4 C#5 F5
A# 7b13,A#3 G#4 C5 D5 F#5
B 7b13,B3 A4 C#5 D#5 G5
C M13,C3 B3 D4 A4 F#5
C# M13,C#3 C4 D#4 A#4 G5
D M13,D3 C#4 E4 B4 G#5
D# M13,D#3 D4 F4 C5 A5
E M13,E3 D#4 F#4 C#5 A#5
F M13,F3 E4 G4 D5 B5
F# M13,F#3 F4 G#4 D#5 C6
C m11,C3 D4 D#4 A#4 F5
C# m11,C#3 D#4 E4 B4 F#5
D m11,D3 E4 F4 C5 G5
D# m11,D#3 F4 F#4 C#5 G#5
E m11,E3 F#4 G4 D5 A5
F m11,F3 G4 G#4 D#5 A#5
F# m11,F#3 G#4 A4 E5 B5
G m11,G3 A4 A#4 F5 C6
C m13,C3 A#3 D#4 A4 D5
C# m13,C#3 B3 E4 A#4 D#5
D m13,D3 C4 F4 B4 E5
D# m13,D#3 C#4 F#4 C5 F5
E m13,E3 D4 G4 C#5 F#5
F m13,F3 D#4 G#4 D5 G5
F# m13,F#3 E4 A4 D#5 G#5
G m13,G3 F4 A#4 E5 A5
G# m13,G#3 F#4 B4 F5 A#5
A m13,A3 G4 C5 F#5 B5
A# m13,A#3 G#4 C#5 G5 C6
